34467 URWW Volgograd Observations at 12Z 22 Dec 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1006.0    145   -3.5   -5.2     88   2.59    250      6  269.2  276.3  269.6
 1000.0    191   -3.9   -4.5     96   2.75    255      8  269.2  276.8  269.7
  970.0    431   -4.5   -5.2     95   2.69    264     15  271.0  278.4  271.4
  944.0    645   -5.7  -10.7     68   1.80    272     21  271.9  277.0  272.2
  936.0    712   -6.3  -11.2     68   1.74    275     23  271.9  276.9  272.2
  925.0    804   -7.1  -12.0     68   1.66    280     19  272.0  276.8  272.3
  871.0   1270  -10.9  -14.3     76   1.46    298     24  272.8  277.0  273.1
  850.0   1458  -10.9  -13.3     82   1.62    305     25  274.7  279.4  275.0
  844.0   1512  -11.1  -13.5     82   1.61    305     26  275.1  279.7  275.3
  834.0   1603  -11.4  -14.2     80   1.54    305     27  275.7  280.2  275.9
  755.0   2363  -13.9  -19.9     60   1.05    272     24  280.9  284.1  281.1
  708.0   2847  -17.0  -23.8     55   0.79    250     21  282.8  285.2  282.9
  700.0   2933  -17.5  -24.5     54   0.76    250     25  283.1  285.5  283.2
  679.0   3161  -18.7  -28.7     41   0.53    251     26  284.2  285.9  284.3
  579.0   4323  -27.0  -32.4     60   0.44    255     29  287.7  289.2  287.8
  552.0   4671  -29.5  -33.5     68   0.41    247     29  288.7  290.1  288.8
  531.0   4946  -31.7  -37.7     55   0.28    240     29  289.3  290.3  289.4
  514.0   5175  -32.7  -40.3     47   0.22    235     29  290.8  291.6  290.9
  500.0   5370  -33.5  -42.5     40   0.18    235     31  292.1  292.8  292.2
  447.0   6148  -37.7  -50.7     24   0.08    253     42  296.4  296.7  296.4
  400.0   6910  -39.3  -54.3     19   0.06    270     52  303.8  304.1  303.8
  360.0   7628  -41.1  -59.1     13   0.04    270     65  310.7  310.9  310.7
  351.0   7798  -41.9  -59.9     12   0.03    270     68  311.9  312.0  311.9
  300.0   8850  -46.9  -64.9     11   0.02    265     66  319.1  319.2  319.1
  296.0   8939  -47.5  -65.5     11   0.02    265     67  319.5  319.6  319.5
  288.0   9117  -48.5  -66.5     11   0.02    265     70  320.6  320.7  320.6
  250.0  10040  -53.5  -71.5      9   0.01    260     56  326.4  326.4  326.4
  249.0  10066  -53.7  -71.7      9   0.01    260     56  326.5  326.5  326.5
  222.0  10803  -56.1  -74.1      9   0.01    255     52  333.7  333.7  333.7
  200.0  11470  -56.1  -74.1      9   0.01    255     52  343.8  343.8  343.8
  195.0  11631  -56.3  -74.3      9   0.01    250     52  346.0  346.1  346.0
  182.0  12069  -56.7  -74.7      9   0.01    255     52  352.2  352.2  352.2
  150.0  13300  -54.7  -73.7      8   0.01    270     51  375.6  375.7  375.6
  144.0  13560  -54.9  -73.9      8   0.01    270     50  379.7  379.8  379.7
  101.0  15779  -62.1  -82.1      5   0.00    270     45  406.3  406.4  406.3
  100.0  15840  -62.1  -82.1      5   0.00    275     45  407.5  407.5  407.5
   90.0  16487  -62.9  -82.6      5   0.00    275     49  418.3  418.3  418.3
   70.0  18030  -64.9  -83.9      6   0.01    265     51  445.2  445.2  445.2
   65.0  18480  -66.1  -85.1      5   0.00    268     50  452.1  452.1  452.1
   50.0  20070  -65.9  -84.9      5   0.01    280     49  487.8  487.8  487.8
   48.8  20218  -65.5  -85.5      5   0.01    274     48  492.1  492.2  492.1
   46.0  20573  -66.9  -86.6      5   0.00    260     47  497.2  497.2  497.2
   38.3  21675  -71.1  -90.1      5   0.00    270     52  513.2  513.2  513.2
   30.0  23120  -72.1  -92.1      4   0.00    265     62  547.5  547.6  547.5
   26.3  23896  -72.5  -92.5      4   0.00    267     74  567.4  567.4  567.4
   23.0  24700  -68.8  -88.8      4   0.01    270     85  600.4  600.5  600.4
   20.7  25331  -65.9  -85.9      5   0.01    266     99  627.5  627.7  627.5
   20.0  25540  -66.1  -86.1      5   0.01    265    103  633.1  633.2  633.1
   15.8  26982  -62.3  -83.3      4   0.02    262     95  689.7  689.9  689.7
   14.0  27725  -63.3  -83.8      5   0.03    260     91  710.4  710.7  710.4

