34467 URWW Volgograd Observations at 12Z 22 Jun 2017

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  989.0    145   26.6   12.6     42   9.35    330     17  300.7  328.5  302.4
  925.0    721   19.0    7.0     46   6.84    315     21  298.7  319.1  300.0
  899.0    965   15.4    5.4     51   6.29    308     20  297.5  316.2  298.6
  850.0   1438   10.8    1.8     54   5.15    295     17  297.4  312.9  298.4
  839.0   1545    9.8    1.2     55   5.02    290     16  297.5  312.6  298.4
  780.0   2146    4.2   -1.8     65   4.32    270     23  297.8  310.9  298.5
  740.0   2573    1.6   -9.4     44   2.55    256     29  299.4  307.4  299.9
  737.0   2606    2.1  -13.0     32   1.91    255     29  300.4  306.5  300.7
  730.0   2683    3.4  -21.6     14   0.94    255     30  302.6  305.7  302.7
  700.0   3022    2.2  -25.8     11   0.67    255     33  304.9  307.2  305.0
  684.0   3208    2.0  -21.0     16   1.05    257     33  306.7  310.3  306.9
  608.0   4136   -5.2  -22.5     24   1.04    265     35  308.9  312.5  309.1
  555.0   4854  -10.7  -23.7     34   1.02    258     34  310.5  314.1  310.7
  500.0   5650  -14.9  -32.9     20   0.48    250     33  314.8  316.6  314.9
  478.0   5989  -17.7  -35.7     19   0.38    250     34  315.4  316.9  315.5
  444.0   6532  -21.6  -37.1     23   0.36    250     35  317.2  318.6  317.3
  400.0   7300  -27.1  -39.1     31   0.32    250     43  319.7  320.9  319.8
  363.0   7991  -31.3  -41.3     37   0.28    247     50  323.1  324.2  323.1
  300.0   9310  -40.3  -49.3     37   0.14    240     64  328.4  329.0  328.5
  295.0   9424  -41.1  -50.5     36   0.13    240     68  328.9  329.4  328.9
  262.0  10228  -46.7  -58.7     24   0.05    249     66  332.0  332.3  332.0
  260.0  10279  -47.0  -59.0     24   0.05    250     66  332.4  332.6  332.4
  250.0  10540  -48.3  -60.3     24   0.05    240     68  334.1  334.3  334.1
  215.0  11513  -53.2  -66.5     18   0.02    230     72  341.3  341.4  341.3
  200.0  11980  -55.5  -69.5     16   0.02    240     68  344.7  344.8  344.7
  198.0  12045  -56.1  -70.1     16   0.02    240     68  344.8  344.8  344.8
  177.0  12770  -55.0  -71.5     11   0.01    250     51  357.7  357.8  357.7
  150.0  13840  -53.5  -73.5      7   0.01    240     51  377.7  377.8  377.7
  146.0  14015  -51.5  -71.5      7   0.02    240     49  384.1  384.2  384.1
  109.0  15911  -52.3  -73.1      6   0.02    240     29  416.0  416.1  416.0
  102.0  16342  -52.5  -73.5      6   0.02    236     32  423.6  423.7  423.6
  100.0  16470  -52.3  -73.3      6   0.02    235     33  426.4  426.5  426.4
   97.0  16665  -52.7  -73.6      6   0.02    235     33  429.3  429.4  429.3
   75.4  18277  -56.3  -76.3      6   0.02    231     24  453.9  453.9  453.9
   70.0  18750  -54.7  -74.7      7   0.02    230     21  467.0  467.2  467.0
   65.4  19185  -53.3  -74.3      6   0.02    228     17  479.2  479.4  479.2
   58.0  19956  -53.1  -74.6      6   0.03    225     10  496.4  496.5  496.4
   50.0  20910  -52.9  -74.9      5   0.03    160      8  518.4  518.6  518.4
   49.0  21041  -52.9  -74.9      5   0.03    155      8  521.5  521.7  521.5
   45.0  21593  -52.7  -74.9      5   0.03    110      6  534.7  535.0  534.7
   39.0  22520  -52.4  -74.9      5   0.04     50      8  557.8  558.1  557.8
   31.0  24007  -51.9  -74.9      5   0.05    160      6  596.8  597.2  596.9
   30.5  24113  -51.9  -74.9      5   0.05    160      6  599.7  600.1  599.7
   30.0  24220  -51.3  -74.3      5   0.05    160      6  604.2  604.6  604.2
   21.0  26569  -46.7  -70.6      5   0.13    105      6  682.8  684.1  682.9
   20.0  26890  -46.1  -70.1      5   0.15    105     10  694.3  695.8  694.4
   13.1  29740  -40.1  -66.1      5   0.40     61     21  804.2  808.6  804.4

