 00Z 01 01 2017,  0.00 ,  6.64
 12Z 01 01 2017,  0.00 ,  16.31
 00Z 02 01 2017,  0.00 ,  13.43
 12Z 02 01 2017,  0.00 ,  10.76
 00Z 03 01 2017,  0.00 ,  6.13
 12Z 03 01 2017,  0.58 ,  7.03
 00Z 04 01 2017,  0.00 ,  6.31
 12Z 04 01 2017,  0.00 ,  4.30
 00Z 05 01 2017,  0.00 ,  4.70
 12Z 05 01 2017,  0.00 ,  9.07
 00Z 06 01 2017,  0.00 ,  12.57
 12Z 06 01 2017,  0.00 ,  11.06
 00Z 07 01 2017,  0.00 ,  14.52
 12Z 07 01 2017,  0.00 ,  8.88
 00Z 08 01 2017,  0.00 ,  9.64
 12Z 08 01 2017,  0.00 ,  8.57
 00Z 09 01 2017,  0.00 ,  8.86
 12Z 09 01 2017,  0.00 ,  7.05
 00Z 10 01 2017,  0.00 ,  6.41
 12Z 10 01 2017,  0.00 ,  4.87
 00Z 11 01 2017,  0.00 ,  5.38
 12Z 11 01 2017,  0.00 ,  5.00
 00Z 12 01 2017,  0.00 ,  4.23
 12Z 12 01 2017,  0.00 ,  7.19
 00Z 13 01 2017,  0.00 ,  8.35
 12Z 13 01 2017,  0.00 ,  5.81
 00Z 14 01 2017,  0.00 ,  6.16
 12Z 14 01 2017,  0.00 ,  5.74
 00Z 15 01 2017,  0.00 ,  6.81
 12Z 15 01 2017,  0.00 ,  5.85
 00Z 16 01 2017,  0.00 ,  8.20
 12Z 16 01 2017,  0.00 ,  7.87
 00Z 17 01 2017,  0.00 ,  10.08
 12Z 17 01 2017,  0.00 ,  8.82
 00Z 18 01 2017,  0.00 ,  5.89
 12Z 18 01 2017,  0.00 ,  4.22
 00Z 19 01 2017,  0.00 ,  4.01
 12Z 19 01 2017,  0.00 ,  3.00
 00Z 20 01 2017,  0.00 ,  3.96
 12Z 20 01 2017,  0.00 ,  5.07
 00Z 21 01 2017,  0.00 ,  4.27
 12Z 21 01 2017,  0.00 ,  7.17
 00Z 22 01 2017,  0.00 ,  2.85
 12Z 22 01 2017,  0.00 ,  2.26
 00Z 23 01 2017,  0.00 ,  8.27
 12Z 23 01 2017,  0.00 ,  8.76
 00Z 24 01 2017,  0.00 ,  8.10
 12Z 24 01 2017,  0.00 ,  5.71
 00Z 25 01 2017,  0.00 ,  7.46
 12Z 25 01 2017,  0.00 ,  5.53
 00Z 26 01 2017,  0.00 ,  5.85
 12Z 26 01 2017,  0.00 ,  3.95
 00Z 27 01 2017,  0.00 ,  2.94
 12Z 27 01 2017,  0.00 ,  2.26
 00Z 28 01 2017,  0.00 ,  3.80
 12Z 28 01 2017,  0.00 ,  3.73
 00Z 29 01 2017,  0.00 ,  3.11
 12Z 29 01 2017,  0.00 ,  2.51
 00Z 30 01 2017,  0.00 ,  2.42
 12Z 30 01 2017,  0.00 ,  4.81
 00Z 31 01 2017,  0.00 ,  4.95
 12Z 31 01 2017,  0.00 ,  3.62
 00Z 01 02 2017,  0.00 ,  3.66
 12Z 01 02 2017,  0.00 ,  4.47
 00Z 02 02 2017,  0.00 ,  4.73
 12Z 02 02 2017,  1.91 ,  2.83
 00Z 03 02 2017,  0.00 ,  2.43
 12Z 03 02 2017,  0.00 ,  3.38
 00Z 04 02 2017,  0.00 ,  4.58
 12Z 04 02 2017,  0.00 ,  11.24
 00Z 05 02 2017,  0.00 ,  15.49
 12Z 05 02 2017,  0.00 ,  6.00
 00Z 06 02 2017,  0.00 ,  6.82
 12Z 06 02 2017,  0.00 ,  7.63
 00Z 07 02 2017,  0.00 ,  6.60
 12Z 07 02 2017,  0.00 ,  3.58
 00Z 08 02 2017,  0.00 ,  1.59
 12Z 08 02 2017,  0.00 ,  2.76
 00Z 09 02 2017,  0.00 ,  2.33
 12Z 09 02 2017,  0.00 ,  3.65
 00Z 10 02 2017,  0.00 ,  4.98
 12Z 10 02 2017,  0.00 ,  4.57
 00Z 11 02 2017,  0.00 ,  5.97
 12Z 11 02 2017,  0.00 ,  4.88
 00Z 12 02 2017,  0.00 ,  4.02
 12Z 12 02 2017,  0.00 ,  5.09
 00Z 13 02 2017,  0.00 ,  6.26
 12Z 13 02 2017,  0.00 ,  4.25
 00Z 14 02 2017,  0.00 ,  4.87
 12Z 14 02 2017,  0.00 ,  3.99
 00Z 15 02 2017,  0.00 ,  5.73
 12Z 15 02 2017,  0.00 ,  4.67
 00Z 16 02 2017,  0.00 ,  3.54
 12Z 16 02 2017,  0.00 ,  4.03
 00Z 17 02 2017,  0.00 ,  3.92
 12Z 17 02 2017,  0.00 ,  3.31
 00Z 18 02 2017,  0.00 ,  7.30
 12Z 18 02 2017,  0.00 ,  9.24
 00Z 19 02 2017,  0.00 ,  11.57
 12Z 19 02 2017,  0.00 ,  8.16
 00Z 20 02 2017,  0.00 ,  8.20
 12Z 20 02 2017,  0.00 ,  5.97
 00Z 21 02 2017,  0.00 ,  6.52
 12Z 21 02 2017,  0.00 ,  9.53
 00Z 22 02 2017,  0.00 ,  9.22
 12Z 22 02 2017,  0.00 ,  9.76
 00Z 23 02 2017,  0.00 ,  10.53
 12Z 23 02 2017,  0.00 ,  10.35
 00Z 24 02 2017,  0.00 ,  7.05
 12Z 24 02 2017,  0.00 ,  9.13
 00Z 25 02 2017,  0.00 ,  17.50
 12Z 25 02 2017,  0.00 ,  13.73
 00Z 26 02 2017,  8.07 ,  6.81
 12Z 26 02 2017,  3.98 ,  4.17
 00Z 27 02 2017,  0.00 ,  8.17
 12Z 27 02 2017,  0.00 ,  8.89
 00Z 28 02 2017,  0.00 ,  8.50
 12Z 28 02 2017,  11.98 ,  8.03
 00Z 01 03 2017,  0.00 ,  7.54
 12Z 01 03 2017,  0.00 ,  9.35
 00Z 02 03 2017,  0.00 ,  10.60
 12Z 02 03 2017,  0.00 ,  8.69
 00Z 03 03 2017,  0.00 ,  8.52
 12Z 03 03 2017,  0.00 ,  12.88
 00Z 04 03 2017,  0.00 ,  16.38
 12Z 04 03 2017,  0.00 ,  10.69
 00Z 05 03 2017,  0.00 ,  6.18
 12Z 05 03 2017,  0.00 ,  6.77
 00Z 06 03 2017,  0.00 ,  6.37
 12Z 06 03 2017,  0.00 ,  5.14
 00Z 07 03 2017,  0.00 ,  6.37
 12Z 07 03 2017,  0.00 ,  6.69
 00Z 08 03 2017,  0.00 ,  8.55
 12Z 08 03 2017,  0.00 ,  5.88
 00Z 09 03 2017,  0.00 ,  5.87
 12Z 09 03 2017,  0.00 ,  5.73
 00Z 10 03 2017,  0.00 ,  8.01
 12Z 10 03 2017,  0.00 ,  8.00
 00Z 11 03 2017,  0.00 ,  8.53
 00Z 12 03 2017,  0.00 ,  3.93
 12Z 12 03 2017,  0.00 ,  6.11
 00Z 13 03 2017,  0.00 ,  5.19
 12Z 13 03 2017,  0.00 ,  7.41
 00Z 14 03 2017,  0.00 ,  9.12
 12Z 14 03 2017,  0.00 ,  11.30
 00Z 15 03 2017,  0.00 ,  8.59
 12Z 15 03 2017,  0.00 ,  8.81
 00Z 16 03 2017,  0.00 ,  7.82
 12Z 16 03 2017,  0.00 ,  8.54
 00Z 17 03 2017,  0.00 ,  11.26
 12Z 17 03 2017,  3.75 ,  9.40
 00Z 18 03 2017,  18.41 ,  11.54
 12Z 18 03 2017,  18.28 ,  9.69
 00Z 19 03 2017,  0.00 ,  10.87
