"Plot Title: sargento-salinidad"
"#","Date Time, GMT-07:00","Cond High Rng, ?S/cm","Temp, °C","Specific Conductance, ?S/cm","Salinity, ppt"
1,02/04/2018 09:30:00,50782.6,17.53,59295.4,39.6728
2,04 09:45:00,50617.2,17.33,59362.4,39.7235
3,04 10:00:00,50646.3,17.23,59526.8,39.8482
4,04 10:15:00,50772.9,17.17,59753.7,40.0203
5,04 10:30:00,51007.8,17.14,60068.6,40.2595
6,04 10:45:00,50958.7,17.11,60050.6,40.2458
7,04 11:00:00,51145.6,17.10,60283.2,40.4226
8,04 11:15:00,51116.0,17.10,60248.5,40.3962
9,04 11:30:00,51066.8,17.10,60190.7,40.3523
10,04 11:45:00,51066.8,17.08,60217.2,40.3724
11,04 12:00:00,51116.0,17.08,60275.0,40.4163
12,04 12:15:00,51007.8,17.08,60147.9,40.3198
13,04 12:30:00,51066.8,17.08,60217.2,40.3724
14,04 12:45:00,51007.8,17.08,60147.9,40.3198
15,04 13:00:00,51057.0,17.08,60205.7,40.3637
16,04 13:15:00,51116.0,17.08,60275.0,40.4163
17,04 13:30:00,51096.3,17.08,60251.9,40.3988
18,04 13:45:00,51037.3,17.08,60182.6,40.3461
19,04 14:00:00,51007.8,17.08,60147.9,40.3198
20,04 14:15:00,51007.8,17.08,60147.9,40.3198
21,04 14:30:00,51086.5,17.08,60240.4,40.3900
22,04 14:45:00,51135.7,17.08,60298.1,40.4339
23,04 15:00:00,51116.0,17.08,60275.0,40.4163
24,04 15:15:00,51066.8,17.08,60217.2,40.3724
25,04 15:30:00,51135.7,17.08,60298.1,40.4339
26,04 15:45:00,51057.0,17.08,60205.7,40.3637
27,04 16:00:00,51037.3,17.08,60182.6,40.3461
28,04 16:15:00,51037.3,17.10,60156.1,40.3260
29,04 16:30:00,51135.7,17.10,60271.6,40.4138
30,04 16:45:00,51057.0,17.08,60205.7,40.3637
31,04 17:00:00,51165.3,17.10,60306.4,40.4402
32,04 17:15:00,51037.3,17.08,60182.6,40.3461
33,04 17:30:00,51086.5,17.08,60240.4,40.3900
34,04 17:45:00,51086.5,17.08,60240.4,40.3900
35,04 18:00:00,51086.5,17.08,60240.4,40.3900
36,04 18:15:00,51037.3,17.08,60182.6,40.3461
37,04 18:30:00,51116.0,17.10,60248.5,40.3962
38,04 18:45:00,51135.7,17.10,60271.6,40.4138
39,04 19:00:00,51007.8,17.10,60121.5,40.2997
40,04 19:15:00,51066.8,17.10,60190.7,40.3523
41,04 19:30:00,51135.7,17.10,60271.6,40.4138
42,04 19:45:00,51165.3,17.10,60306.4,40.4402
43,04 20:00:00,51116.0,17.10,60248.5,40.3962
44,04 20:15:00,51066.8,17.10,60190.7,40.3523
45,04 20:30:00,51116.0,17.10,60248.5,40.3962
46,04 20:45:00,51066.8,17.10,60190.7,40.3523
47,04 21:00:00,51007.8,17.10,60121.5,40.2997
48,04 21:15:00,50870.6,17.10,59960.4,40.1773
49,04 21:30:00,51037.3,17.10,60156.1,40.3260
50,04 21:45:00,51037.3,17.10,60156.1,40.3260
51,04 22:00:00,51027.5,17.10,60144.6,40.3172
52,04 22:15:00,51066.8,17.11,60177.5,40.3422
53,04 22:30:00,50929.3,17.11,60016.1,40.2196
54,04 22:45:00,51007.8,17.11,60108.3,40.2896
55,04 23:00:00,50880.4,17.10,59971.9,40.1860
56,04 23:15:00,50909.7,17.11,59993.1,40.2021
57,04 23:30:00,50802.2,17.11,59867.0,40.1063
58,04 23:45:00,50753.4,17.11,59809.7,40.0628
59,05 00:00:00,50694.9,17.13,59714.8,39.9908
60,05 00:15:00,50694.9,17.11,59741.0,40.0107
61,05 00:30:00,50646.3,17.13,59657.8,39.9475
62,05 00:45:00,50675.5,17.13,59692.0,39.9735
63,05 01:00:00,50597.7,17.13,59600.7,39.9043
64,05 01:15:00,50491.2,17.13,59475.8,39.8095
65,05 01:30:00,50471.8,17.13,59453.0,39.7923
66,05 01:45:00,50423.5,17.13,59396.4,39.7493
67,05 02:00:00,50423.5,17.14,59383.3,39.7394
68,05 02:15:00,50423.5,17.14,59383.3,39.7394
69,05 02:30:00,50452.5,17.14,59417.3,39.7652
70,05 02:45:00,50327.1,17.16,59244.2,39.6340
71,05 03:00:00,50317.5,17.14,59259.0,39.6452
72,05 03:15:00,50327.1,17.16,59244.2,39.6340
73,05 03:30:00,50298.2,17.16,59210.3,39.6083
74,05 03:45:00,50327.1,17.16,59244.2,39.6340
75,05 04:00:00,50240.6,17.16,59142.8,39.5571
76,05 04:15:00,50250.2,17.16,59154.0,39.5657
77,05 04:30:00,50192.6,17.16,59086.5,39.5145
78,05 04:45:00,50096.8,17.16,58974.2,39.4295
79,05 05:00:00,50020.4,17.14,58910.5,39.3813
80,05 05:15:00,49801.8,17.10,58705.7,39.2264
81,05 05:30:00,49471.7,17.05,58382.5,38.9820
82,05 05:45:00,49228.7,17.02,58135.3,38.7953
83,05 06:00:00,49061.6,16.99,57977.1,38.6759
84,05 06:15:00,48969.1,16.99,57868.3,38.5938
85,05 06:30:00,49061.6,17.04,57913.2,38.6277
86,05 06:45:00,49499.9,17.10,58351.3,38.9584
87,05 07:00:00,49830.2,17.13,58700.3,39.2223
88,05 07:15:00,49915.7,17.14,58787.7,39.2883
89,05 07:30:00,50068.2,17.16,58940.7,39.4041
90,05 07:45:00,50144.7,17.16,59030.3,39.4720
91,05 08:00:00,50163.8,17.16,59052.7,39.4889
92,05 08:15:00,50288.6,17.16,59199.1,39.5998
93,05 08:30:00,50317.5,17.16,59232.9,39.6254
94,05 08:45:00,50346.4,17.17,59253.8,39.6412
95,05 09:00:00,50394.6,17.17,59310.3,39.6841
96,05 09:15:00,50394.6,17.16,59323.3,39.6939
97,05 09:30:00,50452.5,17.17,59378.2,39.7355
98,05 09:45:00,50471.8,17.17,59400.8,39.7526
99,05 10:00:00,50442.8,17.16,59379.8,39.7368
100,05 10:15:00,50597.7,17.17,59548.4,39.8645
101,05 10:30:00,50597.7,17.17,59548.4,39.8645
102,05 10:45:00,50578.3,17.17,59525.6,39.8473
103,05 11:00:00,50578.3,17.16,59538.7,39.8572
104,05 11:15:00,50656.0,17.17,59616.7,39.9164
105,05 11:30:00,50520.2,17.17,59457.5,39.7957
106,05 11:45:00,50597.7,17.17,59548.4,39.8645
107,05 12:00:00,50626.9,17.16,59595.7,39.9004
108,05 12:15:00,50549.3,17.17,59491.6,39.8215
109,05 12:30:00,50529.9,17.16,59482.0,39.8142
110,05 12:45:00,50578.3,17.16,59538.7,39.8572
111,05 13:00:00,50568.6,17.16,59527.3,39.8486
112,05 13:15:00,50626.9,17.14,59621.9,39.9203
113,05 13:30:00,50549.3,17.16,59504.7,39.8314
114,05 13:45:00,50549.3,17.16,59504.7,39.8314
115,05 14:00:00,50471.8,17.14,59440.0,39.7823
116,05 14:15:00,50394.6,17.14,59349.4,39.7137
117,05 14:30:00,50394.6,17.14,59349.4,39.7137
118,05 14:45:00,50423.5,17.14,59383.3,39.7394
119,05 15:00:00,50394.6,17.13,59362.5,39.7236
120,05 15:15:00,50327.1,17.13,59283.3,39.6636
121,05 15:30:00,50269.4,17.13,59215.6,39.6123
122,05 15:45:00,50327.1,17.13,59283.3,39.6636
123,05 16:00:00,50269.4,17.13,59215.6,39.6123
124,05 16:15:00,50240.6,17.13,59181.8,39.5867
125,05 16:30:00,50221.4,17.11,59185.3,39.5894
126,05 16:45:00,50221.4,17.13,59159.3,39.5696
127,05 17:00:00,50192.6,17.13,59125.5,39.5440
128,05 17:15:00,50192.6,17.11,59151.5,39.5637
129,05 17:30:00,50269.4,17.11,59241.6,39.6320
130,05 17:45:00,50192.6,17.11,59151.5,39.5637
131,05 18:00:00,50250.2,17.11,59219.1,39.6150
132,05 18:15:00,50250.2,17.11,59219.1,39.6150
133,05 18:30:00,50327.1,17.11,59309.4,39.6833
134,05 18:45:00,50240.6,17.11,59207.8,39.6064
135,05 19:00:00,50221.4,17.11,59185.3,39.5894
136,05 19:15:00,50279.0,17.11,59252.9,39.6406
137,05 19:30:00,50192.6,17.10,59164.5,39.5736
138,05 19:45:00,50125.5,17.10,59085.8,39.5139
139,05 20:00:00,50144.7,17.10,59108.3,39.5310
140,05 20:15:00,50116.0,17.10,59074.6,39.5055
141,05 20:30:00,50125.5,17.10,59085.8,39.5139
142,05 20:45:00,50068.2,17.08,59044.5,39.4827
143,05 21:00:00,50144.7,17.10,59108.3,39.5310
144,05 21:15:00,50202.2,17.08,59201.8,39.6019
145,05 21:30:00,50096.8,17.07,59091.1,39.5180
146,05 21:45:00,50068.2,17.08,59044.5,39.4827
147,05 22:00:00,49944.2,17.08,58898.8,39.3724
148,05 22:15:00,49849.2,17.07,58800.2,39.2978
149,05 22:30:00,49896.7,17.07,58856.0,39.3400
150,05 22:45:00,49773.3,17.07,58711.0,39.2304
151,05 23:00:00,49773.3,17.07,58711.0,39.2304
152,05 23:15:00,49744.9,17.07,58677.7,39.2051
153,05 23:30:00,49556.3,17.08,58443.3,39.0279
154,05 23:45:00,49603.4,17.07,58511.5,39.0795
155,06 00:00:00,49575.1,17.07,58478.2,39.0543
156,06 00:15:00,49406.1,17.07,58279.7,38.9043
157,06 00:30:00,49284.7,17.07,58137.1,38.7967
158,06 00:45:00,49284.7,17.07,58137.1,38.7967
159,06 01:00:00,49312.6,17.07,58169.9,38.8214
160,06 01:15:00,49191.5,17.07,58027.6,38.7140
161,06 01:30:00,49089.4,17.07,57907.6,38.6235
162,06 01:45:00,49015.3,17.07,57820.6,38.5579
163,06 02:00:00,48969.1,17.07,57766.3,38.5169
164,06 02:15:00,48849.2,17.07,57625.5,38.4108
165,06 02:30:00,48876.8,17.08,57645.2,38.4256
166,06 02:45:00,48775.7,17.08,57526.5,38.3362
167,06 03:00:00,48803.2,17.08,57558.8,38.3605
168,06 03:15:00,48729.8,17.08,57472.5,38.2955
